time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
60;3;6.25;12.5;20.0;2.003;LWFF;BLA;PSO
60;2;12.5;25.0;20.0;2.0056;LWFF;BLA;PSO
60;1;3.125;12.5;20.0;2.0022;LWFF;BLA;PSO
60;0;6.25;12.5;20.0;2.003;LWFF;BLA;PSO
70;3;6.25;12.5;20.0;2.3368;LWFF;BLA;PSO
70;2;12.5;25.0;20.0;2.3399;LWFF;BLA;PSO
70;1;3.125;12.5;20.0;2.3359;LWFF;BLA;PSO
70;0;6.25;12.5;20.0;2.3368;LWFF;BLA;PSO
80;3;6.25;12.5;20.0;2.6706;LWFF;BLA;PSO
80;2;12.5;25.0;20.0;2.6742;LWFF;BLA;PSO
80;1;3.125;12.5;20.0;2.6696;LWFF;BLA;PSO
80;0;6.25;12.5;20.0;2.6706;LWFF;BLA;PSO
90;3;6.25;12.5;20.0;3.0045;LWFF;BLA;PSO
90;2;12.5;25.0;20.0;3.0084;LWFF;BLA;PSO
90;1;3.125;12.5;20.0;3.0033;LWFF;BLA;PSO
90;0;6.25;12.5;20.0;3.0045;LWFF;BLA;PSO
100;3;6.25;12.5;20.0;3.3383;LWFF;BLA;PSO
100;2;12.5;25.0;20.0;3.3427;LWFF;BLA;PSO
100;1;3.125;12.5;20.0;3.337;LWFF;BLA;PSO
100;0;6.25;12.5;20.0;3.3383;LWFF;BLA;PSO
110;3;6.25;12.5;20.0;3.6721;LWFF;BLA;PSO
110;2;12.5;25.0;20.0;3.677;LWFF;BLA;PSO
110;1;3.125;12.5;20.0;3.6707;LWFF;BLA;PSO
110;0;6.25;12.5;20.0;3.6721;LWFF;BLA;PSO
