vm_policy;link_policy;wf_policy;# units: time(s); hostId; energy(Wh)
LWFF;First;SJF;30;2;0.0713
LWFF;First;SJF;30;1;0.0713
LWFF;First;SJF;30;0;0.0703
LWFF;First;SJF;40;3;0.0699
LWFF;First;SJF;40;2;0.0704
LWFF;First;SJF;40;1;0.0698
LWFF;First;SJF;40;0;0.0699
LWFF;First;SJF;50;3;0.0699
LWFF;First;SJF;50;2;0.0704
LWFF;First;SJF;50;1;0.0698
LWFF;First;SJF;50;0;0.0699
LWFF;First;SJF;60;3;0.0699
LWFF;First;SJF;60;2;0.0704
LWFF;First;SJF;60;1;0.0698
LWFF;First;SJF;60;0;0.0699
LWFF;First;SJF;70;3;0.0699
LWFF;First;SJF;70;2;0.0704
LWFF;First;SJF;70;1;0.0698
LWFF;First;SJF;70;0;0.0699
LWFF;First;SJF;80;3;0.0699
LWFF;First;SJF;80;2;0.0704
LWFF;First;SJF;80;1;0.0698
LWFF;First;SJF;80;0;0.0699
LWFF;First;SJF;90;3;0.0699
LWFF;First;SJF;90;2;0.0704
LWFF;First;SJF;90;1;0.0698
LWFF;First;SJF;90;0;0.0699
LWFF;First;SJF;100;3;0.0699
LWFF;First;SJF;100;2;0.0704
LWFF;First;SJF;100;1;0.0698
LWFF;First;SJF;100;0;0.0699
LWFF;First;SJF;110;3;0.0699
LWFF;First;SJF;110;2;0.0704
LWFF;First;SJF;110;1;0.0698
LWFF;First;SJF;110;0;0.0699
LWFF;First;SJF;120;3;0.0699
LWFF;First;SJF;120;2;0.0704
LWFF;First;SJF;120;1;0.0698
LWFF;First;SJF;120;0;0.0699
LWFF;First;SJF;130;3;0.0699
