# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
740;3;0.7813;3.1250;4.0000;24.3438
740;2;1.5625;6.2500;6.0000;24.3498
740;1;0.7813;3.1250;2.0000;24.3434
740;0;0.7813;3.1250;2.5000;24.3435
750;5;6.2500;12.5000;10.0000;24.7054
750;4;3.1250;6.2500;5.0000;24.6880
750;3;0.7813;3.1250;4.0000;24.6772
750;2;1.5625;6.2500;6.0000;24.6833
750;1;0.7813;3.1250;2.0000;24.6768
750;0;0.7813;3.1250;2.5000;24.6769
760;5;6.2500;12.5000;10.0000;25.0392
760;4;3.1250;6.2500;5.0000;25.0216
760;3;0.7813;3.1250;4.0000;25.0106
760;2;1.5625;6.2500;6.0000;25.0168
760;1;0.7813;3.1250;2.0000;25.0102
760;0;0.7813;3.1250;2.5000;25.0103
770;5;6.2500;12.5000;10.0000;25.3730
770;4;3.1250;6.2500;5.0000;25.3552
770;3;0.7813;3.1250;4.0000;25.3441
770;2;1.5625;6.2500;6.0000;25.3503
770;1;0.7813;3.1250;2.0000;25.3436
770;0;0.7813;3.1250;2.5000;25.3437
780;5;6.2500;12.5000;10.0000;25.7068
780;4;3.1250;6.2500;5.0000;25.6888
780;3;0.7813;3.1250;4.0000;25.6775
780;2;1.5625;6.2500;6.0000;25.6838
780;1;0.7813;3.1250;2.0000;25.6770
780;0;0.7813;3.1250;2.5000;25.6772
790;5;6.2500;12.5000;10.0000;26.0406
790;4;3.1250;6.2500;5.0000;26.0223
790;3;0.7813;3.1250;4.0000;26.0109
790;2;1.5625;6.2500;6.0000;26.0173
790;1;0.7813;3.1250;2.0000;26.0105
790;0;0.7813;3.1250;2.5000;26.0106
800;5;6.2500;12.5000;10.0000;26.3744
800;4;3.1250;6.2500;5.0000;26.3559
800;3;0.7813;3.1250;4.0000;26.3443
800;2;1.5625;6.2500;6.0000;26.3508
800;1;0.7813;3.1250;2.0000;26.3439
800;0;0.7813;3.1250;2.5000;26.3440
810;5;6.2500;12.5000;10.0000;26.7082
810;4;3.1250;6.2500;5.0000;26.6895
810;3;0.7813;3.1250;4.0000;26.6777
810;2;1.5625;6.2500;6.0000;26.6843
810;1;0.7813;3.1250;2.0000;26.6773
810;0;0.7813;3.1250;2.5000;26.6774
