0;1;2;3;4;5;6;7;vm_policy;link_policy;wf_policy
timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W);LFF;BLA;Priority
470;h_3;6|7;0.7813;3.1250;4.0000;LFF;15.3401;LFF;BLA;Priority
470;h_2;3;1.5625;6.2500;6.0000;LFF;15.3439;LFF;BLA;Priority
470;h_1;1;0.7813;3.1250;2.0000;LFF;15.3398;LFF;BLA;Priority
470;h_0;2|0;0.7813;3.1250;2.5000;LFF;15.3399;LFF;BLA;Priority
480;h_5;4;6.2500;12.5000;10.0000;LFF;15.6914;LFF;BLA;Priority
480;h_4;5;3.1250;6.2500;5.0000;LFF;15.6804;LFF;BLA;Priority
480;h_3;6|7;0.7813;3.1250;4.0000;LFF;15.6735;LFF;BLA;Priority
480;h_2;3;1.5625;6.2500;6.0000;LFF;15.6774;LFF;BLA;Priority
480;h_1;1;0.7813;3.1250;2.0000;LFF;15.6732;LFF;BLA;Priority
480;h_0;2|0;0.7813;3.1250;2.5000;LFF;15.6733;LFF;BLA;Priority
490;h_5;4;6.2500;12.5000;10.0000;LFF;16.0252;LFF;BLA;Priority
490;h_4;5;3.1250;6.2500;5.0000;LFF;16.0139;LFF;BLA;Priority
490;h_3;6|7;0.7813;3.1250;4.0000;LFF;16.0069;LFF;BLA;Priority
490;h_2;3;1.5625;6.2500;6.0000;LFF;16.0109;LFF;BLA;Priority
490;h_1;1;0.7813;3.1250;2.0000;LFF;16.0066;LFF;BLA;Priority
490;h_0;2|0;0.7813;3.1250;2.5000;LFF;16.0067;LFF;BLA;Priority
500;h_5;4;6.2500;12.5000;10.0000;LFF;16.3590;LFF;BLA;Priority
500;h_4;5;3.1250;6.2500;5.0000;LFF;16.3475;LFF;BLA;Priority
500;h_3;6|7;0.7813;3.1250;4.0000;LFF;16.3403;LFF;BLA;Priority
500;h_2;3;1.5625;6.2500;6.0000;LFF;16.3444;LFF;BLA;Priority
500;h_1;1;0.7813;3.1250;2.0000;LFF;16.3401;LFF;BLA;Priority
500;h_0;2|0;0.7813;3.1250;2.5000;LFF;16.3401;LFF;BLA;Priority
510;h_5;4;6.2500;12.5000;10.0000;LFF;16.6928;LFF;BLA;Priority
510;h_4;5;3.1250;6.2500;5.0000;LFF;16.6811;LFF;BLA;Priority
