# units: time(s); hostId; energy(Wh)
2180;0;0.0697
2190;5;0.0000
2190;4;0.0000
2190;3;0.0697
2190;2;0.0000
2190;1;0.0000
2190;0;0.0697
2200;5;0.0000
2200;4;0.0000
2200;3;0.0697
2200;2;0.0000
2200;1;0.0000
2200;0;0.0697
2210;5;0.0000
2210;4;0.0000
2210;3;0.0697
2210;2;0.0000
2210;1;0.0000
2210;0;0.0697
2220;5;0.0000
2220;4;0.0000
2220;3;0.0697
2220;2;0.0000
2220;1;0.0000
2220;0;0.0697
2230;5;0.0000
2230;4;0.0000
2230;3;0.0697
2230;2;0.0000
2230;1;0.0000
2230;0;0.0697
2240;5;0.0000
2240;4;0.0000
2240;3;0.0697
2240;2;0.0000
2240;1;0.0000
2240;0;0.0697
2250;5;0.0000
2250;4;0.0000
2250;3;0.0697
2250;2;0.0000
2250;1;0.0000
2250;0;0.0697
2260;5;0.0000
2260;4;0.0000
2260;3;0.0697
2260;2;0.0000
2260;1;0.0000
2260;0;0.0697
2270;5;0.0000
2270;4;0.0000
2270;3;0.0697
2270;2;0.0000
2270;1;0.0000
2270;0;0.0697
2280;5;0.0000
2280;4;0.0000
2280;3;0.0697
2280;2;0.0000
2280;1;0.0000
2280;0;0.0697
2290;5;0.0000
2290;4;0.0000
2290;3;0.0697
2290;2;0.0000
2290;1;0.0000
2290;0;0.0697
2300;5;0.0000
2300;4;0.0000
2300;3;0.0697
2300;2;0.0000
2300;1;0.0000
2300;0;0.0697
2310;5;0.0000
2310;4;0.0000
2310;3;0.0697
2310;2;0.0000
2310;1;0.0000
2310;0;0.0697
2320;5;0.0000
2320;4;0.0000
2320;3;0.0697
2320;2;0.0000
2320;1;0.0000
2320;0;0.0697
2330;5;0.0000
2330;4;0.0000
2330;3;0.0697
2330;2;0.0000
2330;1;0.0000
2330;0;0.0697
2340;5;0.0000
2340;4;0.0000
2340;3;0.0697
2340;2;0.0000
2340;1;0.0000
2340;0;0.0697
2350;5;0.0000
2350;4;0.0000
2350;3;0.0697
2350;2;0.0000
2350;1;0.0000
2350;0;0.0697
2360;5;0.0000
2360;4;0.0000
2360;3;0.0697
2360;2;0.0000
2360;1;0.0000
2360;0;0.0697
2370;5;0.0000
2370;4;0.0000
