# units: time(s); hostId; vmIds
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;4
2650;3;3|5|0|7
2650;2;
2650;1;
2650;0;4|2|1|6
2660;5;
2660;4;
2660;3;3|5|0|7
2660;2;
2660;1;
2660;0;4|2|1|6
2670;5;
2670;4;
2670;3;3|5|0|7
2670;2;
2670;1;
2670;0;4|2|1|6
2680;5;
2680;4;
2680;3;3|5|0|7
2680;2;
2680;1;
2680;0;4|2|1|6
2690;5;
2690;4;
2690;3;3|5|0|7
2690;2;
2690;1;
2690;0;4|2|1|6
2700;5;
2700;4;
2700;3;3|5|0|7
2700;2;
2700;1;
2700;0;4|2|1|6
2710;5;
2710;4;
2710;3;3|5|0|7
2710;2;
2710;1;
2710;0;4|2|1|6
2720;5;
2720;4;
2720;3;3|5|0|7
2720;2;
2720;1;
2720;0;4|2|1|6
2730;5;
2730;4;
2730;3;3|5|0|7
2730;2;
2730;1;
2730;0;4|2|1|6
2740;5;
2740;4;
2740;3;3|5|0|7
2740;2;
2740;1;
2740;0;4|2|1|6
2750;5;
2750;4;
2750;3;3|5|0|7
2750;2;
2750;1;
2750;0;4|2|1|6
2760;5;
2760;4;
2760;3;3|5|0|7
2760;2;
2760;1;
2760;0;4|2|1|6
2770;5;
2770;4;
2770;3;3|5|0|7
2770;2;
2770;1;
2770;0;4|2|1|6
2780;5;
2780;4;
2780;3;3|5|0|7
2780;2;
2780;1;
2780;0;4|2|1|6
2790;5;
2790;4;
2790;3;3|5|0|7
2790;2;
2790;1;
2790;0;4|2|1|6
2800;5;
2800;4;
2800;3;3|5|0|7
2800;2;
2800;1;
2800;0;4|2|1|6
2810;5;
2810;4;
2810;3;3|5|0|7
2810;2;
2810;1;
2810;0;4|2|1|6
2820;5;
2820;4;
2820;3;3|5|0|7
2820;2;
2820;1;
2820;0;4|2|1|6
2830;5;
2830;4;
2830;3;3|5|0|7
2830;2;
2830;1;
