time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
270.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
270.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
270.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
280.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
280.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
280.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
280.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
280.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
280.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
280.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
280.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
280.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
280.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
280.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
280.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
290.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
290.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
290.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
290.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
290.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
290.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
290.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
290.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
290.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
290.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
290.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
290.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
300.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
300.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
300.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
300.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
300.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
300.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
300.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
300.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
300.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
300.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
300.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
300.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
310.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
310.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
310.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
310.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
310.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
310.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
310.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
310.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
310.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
310.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
310.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
310.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
320.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
320.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
320.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
320.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
320.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
320.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
320.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
320.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
320.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
320.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
320.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
320.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
330.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
330.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
330.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
330.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
330.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
330.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
330.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
330.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
