# units: time(s); switchId; energy(watt)
1540;6;28.3534
1550;12;28.5387
1550;11;28.5387
1550;10;28.5387
1550;9;28.5387
1550;8;28.5387
1550;7;28.5387
1550;6;28.5387
1560;12;28.7240
1560;11;28.7240
1560;10;28.7240
1560;9;28.7240
1560;8;28.7240
1560;7;28.7240
1560;6;28.7240
1570;12;28.9093
1570;11;28.9093
1570;10;28.9093
1570;9;28.9093
1570;8;28.9093
1570;7;28.9093
1570;6;28.9093
1580;12;29.0946
1580;11;29.0946
1580;10;29.0946
1580;9;29.0946
1580;8;29.0946
1580;7;29.0946
1580;6;29.0946
1590;12;29.2798
1590;11;29.2798
1590;10;29.2798
1590;9;29.2798
1590;8;29.2798
1590;7;29.2798
1590;6;29.2798
1600;12;29.4651
1600;11;29.4651
1600;10;29.4651
1600;9;29.4651
1600;8;29.4651
1600;7;29.4651
1600;6;29.4651
1610;12;29.6504
1610;11;29.6504
1610;10;29.6504
1610;9;29.6504
1610;8;29.6504
1610;7;29.6504
1610;6;29.6504
1620;12;29.8357
1620;11;29.8357
1620;10;29.8357
1620;9;29.8357
1620;8;29.8357
1620;7;29.8357
1620;6;29.8357
1630;12;30.0209
1630;11;30.0209
1630;10;30.0209
1630;9;30.0209
1630;8;30.0209
1630;7;30.0209
1630;6;30.0209
1640;12;30.2062
1640;11;30.2062
1640;10;30.2062
1640;9;30.2062
1640;8;30.2062
1640;7;30.2062
1640;6;30.2062
1650;12;30.3915
1650;11;30.3915
1650;10;30.3915
1650;9;30.3915
1650;8;30.3915
1650;7;30.3915
1650;6;30.3915
1660;12;30.5768
1660;11;30.5768
1660;10;30.5768
1660;9;30.5768
1660;8;30.5768
1660;7;30.5768
1660;6;30.5768
1670;12;30.7621
1670;11;30.7621
1670;10;30.7621
1670;9;30.7621
1670;8;30.7621
1670;7;30.7621
1670;6;30.7621
1680;12;30.9473
1680;11;30.9473
1680;10;30.9473
1680;9;30.9473
1680;8;30.9473
1680;7;30.9473
1680;6;30.9473
1690;12;31.1326
1690;11;31.1326
1690;10;31.1326
1690;9;31.1326
1690;8;31.1326
1690;7;31.1326
1690;6;31.1326
1700;12;31.3179
1700;11;31.3179
1700;10;31.3179
1700;9;31.3179
1700;8;31.3179
1700;7;31.3179
1700;6;31.3179
1710;12;31.5032
1710;11;31.5032
1710;10;31.5032
1710;9;31.5032
1710;8;31.5032
1710;7;31.5032
1710;6;31.5032
1720;12;31.6884
1720;11;31.6884
1720;10;31.6884
1720;9;31.6884
1720;8;31.6884
1720;7;31.6884
1720;6;31.6884
1730;12;31.8737
1730;11;31.8737
1730;10;31.8737
1730;9;31.8737
1730;8;31.8737
1730;7;31.8737
1730;6;31.8737
1740;12;32.0590
1740;11;32.0590
1740;10;32.0590
1740;9;32.0590
1740;8;32.0590
1740;7;32.0590
1740;6;32.0590
1750;12;32.2443
1750;11;32.2443
1750;10;32.2443
1750;9;32.2443
1750;8;32.2443
1750;7;32.2443
1750;6;32.2443
1760;12;32.4296
1760;11;32.4296
1760;10;32.4296
1760;9;32.4296
1760;8;32.4296
1760;7;32.4296
1760;6;32.4296
1770;12;32.6148
1770;11;32.6148
1770;10;32.6148
1770;9;32.6148
1770;8;32.6148
1770;7;32.6148
1770;6;32.6148
1780;12;32.8001
1780;11;32.8001
1780;10;32.8001
1780;9;32.8001
1780;8;32.8001
1780;7;32.8001
1780;6;32.8001
1790;12;32.9854
1790;11;32.9854
1790;10;32.9854
1790;9;32.9854
1790;8;32.9854
1790;7;32.9854
1790;6;32.9854
1800;12;33.1707
1800;11;33.1707
1800;10;33.1707
1800;9;33.1707
1800;8;33.1707
1800;7;33.1707
1800;6;33.1707
1810;12;33.3559
1810;11;33.3559
1810;10;33.3559
1810;9;33.3559
1810;8;33.3559
1810;7;33.3559
1810;6;33.3559
1820;12;33.5412
1820;11;33.5412
1820;10;33.5412
1820;9;33.5412
1820;8;33.5412
1820;7;33.5412
1820;6;33.5412
1830;12;33.7265
1830;11;33.7265
1830;10;33.7265
1830;9;33.7265
1830;8;33.7265
1830;7;33.7265
1830;6;33.7265
1840;12;33.9118
1840;11;33.9118
1840;10;33.9118
1840;9;33.9118
1840;8;33.9118
1840;7;33.9118
1840;6;33.9118
1850;12;34.0971
1850;11;34.0971
1850;10;34.0971
1850;9;34.0971
1850;8;34.0971
1850;7;34.0971
1850;6;34.0971
1860;12;34.2823
1860;11;34.2823
1860;10;34.2823
1860;9;34.2823
1860;8;34.2823
1860;7;34.2823
1860;6;34.2823
1870;12;34.4676
1870;11;34.4676
1870;10;34.4676
1870;9;34.4676
1870;8;34.4676
1870;7;34.4676
1870;6;34.4676
1880;12;34.6529
1880;11;34.6529
1880;10;34.6529
1880;9;34.6529
1880;8;34.6529
1880;7;34.6529
1880;6;34.6529
1890;12;34.8382
1890;11;34.8382
1890;10;34.8382
1890;9;34.8382
1890;8;34.8382
1890;7;34.8382
1890;6;34.8382
1900;12;35.0234
1900;11;35.0234
1900;10;35.0234
1900;9;35.0234
1900;8;35.0234
1900;7;35.0234
1900;6;35.0234
1910;12;35.2087
1910;11;35.2087
1910;10;35.2087
1910;9;35.2087
1910;8;35.2087
1910;7;35.2087
1910;6;35.2087
1920;12;35.3940
1920;11;35.3940
1920;10;35.3940
1920;9;35.3940
1920;8;35.3940
1920;7;35.3940
1920;6;35.3940
1930;12;35.5793
1930;11;35.5793
1930;10;35.5793
1930;9;35.5793
1930;8;35.5793
1930;7;35.5793
1930;6;35.5793
1940;12;35.7646
1940;11;35.7646
1940;10;35.7646
1940;9;35.7646
1940;8;35.7646
1940;7;35.7646
1940;6;35.7646
1950;12;35.9498
1950;11;35.9498
1950;10;35.9498
1950;9;35.9498
1950;8;35.9498
1950;7;35.9498
1950;6;35.9498
1960;12;36.1351
1960;11;36.1351
1960;10;36.1351
1960;9;36.1351
1960;8;36.1351
1960;7;36.1351
1960;6;36.1351
1970;12;36.3204
1970;11;36.3204
1970;10;36.3204
1970;9;36.3204
1970;8;36.3204
1970;7;36.3204
1970;6;36.3204
1980;12;36.5057
1980;11;36.5057
1980;10;36.5057
1980;9;36.5057
1980;8;36.5057
1980;7;36.5057
1980;6;36.5057
1990;12;36.6909
1990;11;36.6909
1990;10;36.6909
1990;9;36.6909
1990;8;36.6909
1990;7;36.6909
1990;6;36.6909
2000;12;36.8762
2000;11;36.8762
