# units: time(s); hostId; energy(Wh)
1090;5;0.0699
1090;4;0.0695
1090;3;0.0696
1090;2;0.0696
1090;1;0.0697
1090;0;0.0696
1100;11;0.0696
1100;10;0.0696
1100;9;0.0696
1100;8;0.0699
1100;7;0.0696
1100;6;0.0696
1100;5;0.0699
1100;4;0.0695
1100;3;0.0696
1100;2;0.0696
1100;1;0.0697
1100;0;0.0696
1110;11;0.0696
1110;10;0.0696
1110;9;0.0696
1110;8;0.0699
1110;7;0.0696
1110;6;0.0696
1110;5;0.0699
1110;4;0.0695
1110;3;0.0696
1110;2;0.0696
1110;1;0.0697
1110;0;0.0696
1120;11;0.0696
1120;10;0.0696
1120;9;0.0696
1120;8;0.0699
1120;7;0.0696
1120;6;0.0696
1120;5;0.0699
1120;4;0.0695
1120;3;0.0696
1120;2;0.0696
1120;1;0.0697
1120;0;0.0696
1130;11;0.0696
1130;10;0.0696
1130;9;0.0696
1130;8;0.0699
1130;7;0.0696
1130;6;0.0696
1130;5;0.0699
1130;4;0.0695
1130;3;0.0696
1130;2;0.0696
1130;1;0.0697
1130;0;0.0696
1140;11;0.0696
1140;10;0.0696
1140;9;0.0696
1140;8;0.0699
1140;7;0.0696
1140;6;0.0696
1140;5;0.0699
1140;4;0.0695
1140;3;0.0696
1140;2;0.0696
1140;1;0.0697
1140;0;0.0696
1150;11;0.0696
1150;10;0.0696
1150;9;0.0696
1150;8;0.0699
1150;7;0.0696
1150;6;0.0696
1150;5;0.0699
1150;4;0.0695
1150;3;0.0696
1150;2;0.0696
1150;1;0.0697
1150;0;0.0696
1160;11;0.0696
1160;10;0.0696
1160;9;0.0696
1160;8;0.0699
1160;7;0.0696
1160;6;0.0696
1160;5;0.0699
1160;4;0.0695
1160;3;0.0696
1160;2;0.0696
1160;1;0.0697
1160;0;0.0696
1170;11;0.0696
1170;10;0.0696
1170;9;0.0696
1170;8;0.0699
1170;7;0.0696
1170;6;0.0696
1170;5;0.0699
1170;4;0.0695
1170;3;0.0696
1170;2;0.0696
1170;1;0.0697
1170;0;0.0696
1180;11;0.0696
1180;10;0.0696
1180;9;0.0696
1180;8;0.0699
1180;7;0.0696
1180;6;0.0696
1180;5;0.0699
1180;4;0.0695
1180;3;0.0696
1180;2;0.0696
1180;1;0.0697
1180;0;0.0696
1190;11;0.0696
1190;10;0.0696
1190;9;0.0696
1190;8;0.0699
1190;7;0.0696
1190;6;0.0696
1190;5;0.0699
1190;4;0.0695
1190;3;0.0696
1190;2;0.0696
1190;1;0.0697
1190;0;0.0696
1200;11;0.0696
1200;10;0.0696
1200;9;0.0696
1200;8;0.0699
1200;7;0.0696
1200;6;0.0696
1200;5;0.0699
1200;4;0.0695
1200;3;0.0696
1200;2;0.0696
1200;1;0.0697
1200;0;0.0696
1210;11;0.0696
1210;10;0.0696
1210;9;0.0696
1210;8;0.0699
1210;7;0.0696
1210;6;0.0696
1210;5;0.0699
1210;4;0.0695
1210;3;0.0696
1210;2;0.0696
1210;1;0.0697
1210;0;0.0696
1220;11;0.0696
1220;10;0.0696
1220;9;0.0696
1220;8;0.0699
1220;7;0.0696
1220;6;0.0696
1220;5;0.0699
1220;4;0.0695
1220;3;0.0696
1220;2;0.0696
1220;1;0.0697
1220;0;0.0696
1230;11;0.0696
1230;10;0.0696
1230;9;0.0696
1230;8;0.0699
1230;7;0.0696
1230;6;0.0696
1230;5;0.0699
1230;4;0.0695
1230;3;0.0696
1230;2;0.0696
1230;1;0.0697
1230;0;0.0696
1240;11;0.0696
1240;10;0.0696
1240;9;0.0696
1240;8;0.0699
1240;7;0.0696
1240;6;0.0696
1240;5;0.0699
1240;4;0.0695
1240;3;0.0696
1240;2;0.0696
1240;1;0.0697
1240;0;0.0696
1250;11;0.0696
1250;10;0.0696
1250;9;0.0696
1250;8;0.0699
1250;7;0.0696
1250;6;0.0696
1250;5;0.0699
1250;4;0.0695
1250;3;0.0696
1250;2;0.0696
1250;1;0.0697
1250;0;0.0696
1260;11;0.0696
1260;10;0.0696
1260;9;0.0696
1260;8;0.0699
1260;7;0.0696
1260;6;0.0696
1260;5;0.0699
